Gene_ID	Vegetative_Meristem_16-19Day	6-7_internode	7-8_internode	Juvenile_Leaf_Blade3	Leaf_Zone 1_Symmetrical	Leaf_Zone 2_Stomatal	Leaf_Zone 3_Growth	Mature_Leaf_8	Primary_Root_5Days	Root_Meristem_Zone_5Days	Root_Cortex_5Days	Root_Stelle_5Days	Root_Elongation_Zone_5Days	Secondary_Root_7-8_Days	Tassel	Anther_1.0mm	Anther_2.0mm	W23_Pollen	B73_Mature_Pollen	B73_Germ_Pollen	Female_Spikelet	Ear_Primordium_1mm	Ear_Primordium_2-4mm	Ear_Primordium_6-8mm	Silk_unpollinated	Endosperm_8_DAP	Endosperm_10_DAP	Endosperm_12_DAP	Endosperm Crown_27_DAP	Pericarp_Aleurone_27_DAP	Embryo_20_DAP	Embryo_38_DAP	Germ_Kernels_2_DAI
Zm00001d045056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424.4833883	745.352326	323.0759213	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d048795	0	0	0	0	13.23131718	35.84299629	94.35794589	0	2118.297178	0	841.5408419	1145.309172	126.1056523	937.2265827	0	40.39049837	13.4519899	0	0	0	0	0	0	0	24.32071237	0	0	0	0	6.720288678	0	0	0
Zm00001d050696	0	0	0	0	0	22.01616392	49.30574467	0	0	215.0097296	0	119.6070551	93.68302461	0	0	996.513529	114.6388488	165.9245723	150.2260489	0	372.9865812	161.1389462	53.61412264	54.67217632	0	389.0443091	343.1433435	0	0	68.75909489	0	0	0
Zm00001d030509	108.3561914	64.70259307	34.84614906	0	58.51484067	128.4186963	129.0078686	0	115.8777401	206.1219908	8.271114638	0	257.6137854	47.82542101	69.3406697	15.27376578	0	0	0	0	64.67487218	0	25.27465293	66.76723434	10.4205423	49.69149068	39.05899412	0	0	0	113.5232591	0	0
Zm00001d043070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129.8659124	0	0	0
Zm00001d016828	0	0	0	0	0	0	0	0	0	2.37154468	0	0	0	0	0	0	0	0	0	0	3.368616973	0	0	0	0	6.09897275	0	0	0	0	0	0	0
Zm00001d001789	169.8161737	189.9013417	278.961883	80.48856918	263.1488623	448.7655989	500.4148701	119.0273618	1482.126626	2062.059971	1363.198166	1230.073074	1447.97504	1518.29386	311.2088031	187.0335527	387.0507716	818.2451139	708.182413	680.1794654	298.1023109	224.6775613	181.9338105	154.986941	537.583501	494.6808593	457.5957154	268.312919	275.0564257	344.1609046	253.0835981	101.1091389	158.1968248
Zm00001d004559	0	0	0	6.290607237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24630966	0	0	5.598775646	1.927425051	0	0	0
Zm00001d034223	0	0	0	0	43.90101703	106.5805039	351.3177375	0	535.6097097	708.6849971	47.91030457	304.245239	581.4195531	170.2702451	0	59.03567896	0	0	107.7122556	0	0	0	0	42.386294	0	119.5266881	0	0	587.1481832	117.5332893	45.25624954	0	0
Zm00001d004561	0	0	6.140350887	0	0	4.165640019	0	0	14.89899376	0	6.06235107	0	0	0	16.68359309	9.748542733	0	0	0	0	0	18.08202015	0	0	5.181969964	17.07385053	12.96934515	80.48937867	0	10.61458593	5.379029783	8.390712875	0
Zm00001d016797	207.0021268	209.1447735	124.3857646	0	197.7545334	142.1864402	247.0727611	34.38030956	423.89672	219.7144541	227.0486498	416.6099492	365.2888335	186.1827809	187.7814538	167.1763546	262.5666882	334.7244272	395.3766137	142.805385	277.5281838	135.8772736	135.2583835	164.6338068	211.2319166	360.3545607	266.9818549	328.0445925	253.1639819	204.8944032	92.76196258	45.26915146	52.88789097
Zm00001d003281	14.69829649	0	0	0	39.43025803	39.79750694	10.6327229	3.768493886	44.06770219	20.93523197	4.689986403	26.27673742	18.70407609	0	76.44922035	36.68755327	25.90500696	0	0	0	79.7971453	31.37579463	46.91701463	27.11573848	0	624.9557412	96.0453312	24.75206765	0	158.0325116	478.3301769	30.06006573	31.85513062
Zm00001d021675	0	0	36.94680251	0	0	0	0	0	0	0	1.91729342	0	0	0	0	0	0	15.42964352	0	0	0	0	0	0	0	0	0	0	0	13.78290961	10.71824482	0	0
Zm00001d008640	50.17445831	0	18.61671785	0	44.86120752	98.00419715	117.8071215	0	0	131.1745431	111.2614864	129.1613309	202.9349858	18.6687381	50.19848258	0	0	0	0	0	10.57421865	93.47487491	81.39212868	54.81980534	0	109.602441	253.2908509	166.1692717	40.59636402	42.75435506	70.6509391	61.39196497	74.84765723
Zm00001d016098	0	0	0	0	0	0	0	0	103.3165679	74.85997676	283.4183472	131.6413032	112.190944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.91242077	441.1114858	138.0835196	2301.896662	1170.706739
